Partie d'AI 40% contre l'AI 50%,Victoires,Défaites,,,,,,,,,,,,,,
Partie d'AI 77% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(77),445,555,P2(80),,,,,,,,,,,,,
Partie d'AI 78% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(78),141,859,P2(50),,,,,,,,,,,,,
Partie d'AI 78% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(78),33,967,P2(65),,,,,,,,,,,,,
Partie d'AI 78% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(78),429,571,P2(80),,,,,,,,,,,,,
Partie d'AI 79% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(79),148,852,P2(50),,,,,,,,,,,,,
Partie d'AI 79% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(79),31,969,P2(65),,,,,,,,,,,,,
Partie d'AI 79% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(79),408,592,P2(80),,,,,,,,,,,,,
